mode,distance_to_cut,samples,weighted_value_mean,weighted_value_std,weighted_q_mean,weighted_q_std,value_h1_mean,q_h1_mean,value_h2_mean,q_h2_mean,value_h4_mean,q_h4_mean,value_h8_mean,q_h8_mean
robust,7,2048,-29.74214026323898,14.379431130172389,-31.061820878284742,13.676319887128471,-16.0505313873291,-16.705230712890625,-22.271148681640625,-23.127613067626953,-27.088756561279297,-28.194133758544922,-31.143081665039062,-32.54173278808594
robust,8,2048,-29.503077128602307,13.755989826619976,-30.81701755298054,13.023079021042959,-15.777687072753906,-16.42940902709961,-21.97457504272461,-22.82075309753418,-26.822574615478516,-27.925151824951172,-30.910982131958008,-32.30382537841797
naive,0,2048,-14.47416908818559,3.8713110561212027,-15.195678828134987,3.389985540531857,-8.745741844177246,-9.253748893737793,-11.478645324707031,-12.101922035217285,-13.502118110656738,-14.258620262145996,-15.044522285461426,-15.782310485839844
naive,1,2048,-14.411829886819032,3.8886173508151387,-15.133888098341412,3.453859750850178,-8.725013732910156,-9.228937149047852,-11.449313163757324,-12.073235511779785,-13.454866409301758,-14.209817886352539,-14.976905822753906,-15.715633392333984
naive,2,2048,-14.108098275438532,3.7490035038564367,-14.862452215655138,3.298363849977959,-8.246177673339844,-8.76755142211914,-11.024484634399414,-11.674187660217285,-13.102385520935059,-13.88917350769043,-14.693466186523438,-15.46577262878418
naive,3,2048,-14.487582930002826,3.9183375201520603,-15.190696979905077,3.456832494419227,-8.833707809448242,-9.339698791503906,-11.539520263671875,-12.158744812011719,-13.533699035644531,-14.28018569946289,-15.049690246582031,-15.766782760620117
naive,4,2048,-14.293981944584083,3.765306622709146,-15.028131812087668,3.288069192678733,-8.4395751953125,-8.960442543029785,-11.216451644897461,-11.855611801147461,-13.28958797454834,-14.058473587036133,-14.878471374511719,-15.628711700439453
naive,5,2048,-14.361198144848458,3.864405387622718,-15.081723237245388,3.398262782091159,-8.611970901489258,-9.129134178161621,-11.353042602539062,-11.988003730773926,-13.38438606262207,-14.146187782287598,-14.933797836303711,-15.668889999389648
naive,6,2048,-14.33914639959039,3.824377477678688,-15.07394786866207,3.3581468607721887,-8.504325866699219,-9.020506858825684,-11.27337646484375,-11.910676002502441,-13.338485717773438,-14.109419822692871,-14.9215726852417,-15.672843933105469
naive,7,2048,-14.48830844036711,3.8818517602044564,-15.183200167390169,3.4111842683809894,-8.768792152404785,-9.269682884216309,-11.499898910522461,-12.118459701538086,-13.517950057983398,-14.258769989013672,-15.057619094848633,-15.765711784362793
naive,8,2048,-14.399145993977434,3.843169795828707,-15.143898204321522,3.3572973965637174,-8.681131362915039,-9.198457717895508,-11.412899017333984,-12.054008483886719,-13.432941436767578,-14.21145248413086,-14.967996597290039,-15.73023796081543
